ID,Name,Glottocode
PL,*PL,lolo1267
PLB,*PLB,lolo1265
PLBMatisoff,*PLB(Matisoff),lolo1265
PN,*PN,niso1234
Achang,Achang,acha1249
Axi,Axi,axiy1235
Azha,Azha,azha1235
Azhe,Azhe,azhe1235
Bisu,Bisu,bisu1244
Gepu,Gepu,gepo1234
Hani,Hani,hani1248
Haoni,Haoni,honi1244
Jinuo,Jinuo,youl1235
Kazhuo,Kazhuo,kats1235
Lahu,Lahu,lahu1253
Laluba,Laluba,lalo1240
Lavu,Lavu,talu1238
Lipo,Lipo,lipo1242
Lisu,Lisu,lisu1250
Lolopo,Lolopo,lolo1259
Lope,Lope,awuu1235
Maang,Maang,maan1239
Mondzi,Mondzi,mond1267
Namuzi,Namuzi,pumi1242
Nasu,Nasu,wudi1238
Naxi,Naxi,naxi1245
Nesu,Nesu,nesu1235
Niesu,Niesu,
Nishu,Nishu,
Nisu,Nisu,nisu1237
Nuosu,Nuosu,sich1238
Nusu,Nusu,nusu1239
Polo,Polo,phol1235
Rouruo,Rouruo,zauz1238
Sangkong,S.kong,sang1320
Samu,Samu,sama1295
Sani,Sani,sani1269
Toloza,Toloza,tang1372
WrittenBurmese,WB,nucl1310
Zaiwa,Zaiwa,zaiw1241
Zuoke,Zuoke,zokh1238
